0 494,65 -5
1829 341,82 -4,55
1830 341,73 -5,66666666666667
1831 341,65 -0,299999999999997
1832 341,56 -1,46666666666667
1833 341,48 -2,31666666666668
1834 341,4 -8,23333333333333
1835 341,31 -2,88333333333335
1836 341,23 -7,51666666666667
1837 341,14 -3,98333333333333
1838 341,06 -9,26666666666667
1839 340,98 -4,41666666666667
1840 340,89 -4,16666666666667
1841 340,81 -6,09999999999999
1842 340,72 -5,2
1843 340,64 -5,13333333333333
1844 340,56 -5,31666666666668
1845 340,47 -1,90000000000001
1846 340,39 -6,66666666666667
1847 340,3 -3,58333333333333
1848 340,22 -6,08333333333333
1849 340,14 -3,16666666666667
1850 340,05 -5,15000000000001
1851 339,97 -5,31666666666666
1852 339,88 -5,86666666666667
1853 339,8 -4,34999999999999
1854 339,72 -5,21666666666667
1855 339,63 -4,23333333333335
1856 339,55 -7,53333333333332
1857 339,46 -7,16666666666667
1858 339,38 -9,53333333333333
1859 339,3 -5,25
1860 339,21 -4,68333333333334
1861 339,13 -7,7
1862 339,04 -2,18333333333332
1863 338,96 -4,13333333333335
1864 338,88 -4,8
1865 338,79 -7,53333333333333
1866 338,71 -4,5
1867 338,62 -1,84999999999999
1868 338,54 -5,76666666666667
1869 338,46 -3,98333333333333
1870 338,37 -4,05
1871 338,29 -2,98333333333333
1872 338,2 -3,11666666666667
1873 338,12 -1,76666666666667
1874 338,04 -2,11666666666667
1875 337,95 1,34999999999999
1876 337,87 -0,700000000000003
1877 337,78 -0,5
1878 337,7 -2,06666666666666
1879 337,62 2,25
1880 337,53 20,2666666666667
1881 337,45 277,883333333333
1882 337,36 580,183333333333
1883 337,28 445,716666666667
1884 337,2 223,683333333333
1885 337,11 150,283333333333
1886 337,03 108,983333333333
1887 336,94 130,116666666667
1888 336,86 100,7
1889 336,78 114,316666666667
1890 336,69 86,9333333333333
1891 336,61 89,3333333333333
1892 336,52 66,5333333333333
1893 336,44 70,9833333333333
1894 336,36 63,4333333333333
1895 336,27 69
1896 336,19 53,5666666666667
1897 336,1 45,4166666666667
1898 336,02 32,0166666666667
1899 335,94 32,1333333333334
1900 335,85 20,5833333333333
1901 335,77 23,1833333333333
1902 335,68 14,9166666666667
1903 335,6 18,5333333333333
1904 335,52 9,18333333333332
1905 335,43 12,5
1906 335,35 7,26666666666667
1907 335,26 3,38333333333333
1908 335,18 4,55
1909 335,1 2,56666666666668
1910 335,01 2,41666666666667
1911 334,93 6,46666666666667
1912 334,84 -1,66666666666666
1913 334,76 2,36666666666667
1914 334,68 -3,16666666666667
1915 334,59 -0,300000000000011
1916 334,51 -1,76666666666667
1917 334,42 -0,366666666666674
1918 334,34 -2,45
1919 334,26 -1,56666666666668
1920 334,17 -0,216666666666669
1921 334,09 0,650000000000006
1922 334 -1,46666666666667
1923 333,92 -2,55
1924 333,84 -1,94999999999999
1925 333,75 -4,90000000000001
1926 333,67 -1,84999999999999
1927 333,58 -4,91666666666667
1928 333,5 -6,96666666666667
1929 333,42 -2,55
1930 333,33 -4,33333333333333
1931 333,25 -3,75
1932 333,16 -5,18333333333334
1933 333,08 -4,40000000000001
1934 333 -1,95
1935 332,91 -6,01666666666665
1936 332,83 -6,16666666666667
1937 332,74 -7,43333333333332
1938 332,66 -7,08333333333333
1939 332,58 -4,01666666666667
1940 332,49 -6,08333333333333
1941 332,41 -5,96666666666667
1942 332,32 -3,84999999999999
1943 332,24 -1,73333333333333
1944 332,16 -5,06666666666668
1945 332,07 -4,73333333333333
1946 331,99 -6,01666666666667
1947 331,9 -4,41666666666667
1948 331,82 -6,95
1949 331,74 -4,3
1950 331,65 -7,13333333333333
1951 331,57 -4,7
1952 331,48 -4,73333333333333
1953 331,4 -2,91666666666667
1954 331,32 -4,23333333333333
1955 331,23 -4,44999999999999
1956 331,15 -2,36666666666667
1957 331,06 -6,06666666666668
1958 330,98 -5,08333333333333
1959 330,9 -6,2
1960 330,81 -2,66666666666667
1961 330,73 -5,01666666666667
1962 330,64 -1,63333333333333
1963 330,56 -2,41666666666667
1964 330,48 -6,43333333333332
1965 330,39 -5,05
1966 330,31 -2,8
1967 330,22 -4,40000000000001
1968 330,14 -3,18333333333332
1969 330,06 0,433333333333323
1970 329,97 -2,66666666666667
1971 329,89 -2,53333333333333
1972 329,8 -6,31666666666668
1973 329,72 -7,21666666666667
1974 329,64 -2,65000000000001
1975 329,55 -2,95
1976 329,47 -6,58333333333333
1977 329,38 -4,53333333333333
1978 329,3 -1,68333333333332
1979 329,22 -5,3
1980 329,13 -3,90000000000001
1981 329,05 -2,21666666666667
1982 328,96 -3,31666666666668
1983 328,88 -3,56666666666668
1984 328,8 -1,3
1985 328,71 3
1986 328,63 2,75
1987 328,54 -0,283333333333331
1988 328,46 1,28333333333333
1989 328,38 -3,58333333333333
1990 328,29 -0,433333333333323
1991 328,21 -1,08333333333333
1992 328,12 -5,25
1993 328,04 -3,28333333333333
1994 327,96 -3,18333333333332
1995 327,87 -3,66666666666667
1996 327,79 -4,31666666666668
1997 327,7 -1,83333333333333
1998 327,62 -2,16666666666667
1999 327,54 -5,26666666666667
2000 327,45 -5,06666666666668
2001 327,37 -2,08333333333333
2002 327,28 -5,34999999999999
2003 327,2 -2,78333333333333
2004 327,12 -3,55
2005 327,03 -1,15000000000001
2006 326,95 2,86666666666667
2007 326,86 1,53333333333333
2008 326,78 -1,93333333333332
2009 326,7 -8,8
2010 326,61 -2,81666666666668
2011 326,53 -3,63333333333333
2012 326,44 -5,84999999999999
2013 326,36 -2,58333333333333
2014 326,28 -7,7
2015 326,19 -2,63333333333333
2016 326,11 -5,90000000000001
2017 326,02 -6,21666666666667
2018 325,94 -1,7
2019 325,86 -7,38333333333333
2020 325,77 -3,98333333333333
2021 325,69 -6,31666666666668
2022 325,6 -7,15000000000001
2023 325,52 -9,03333333333333
2024 325,44 -5,61666666666667
2025 325,35 -6,91666666666667
2026 325,27 -8,31666666666668
2027 325,18 -5,63333333333333
2028 325,1 -7,95
2029 325,02 -5,41666666666667
2030 324,93 -8,68333333333332
2031 324,85 -4,73333333333333
2032 324,76 -6,26666666666667
2033 324,68 -6,76666666666667
2034 324,6 -4,01666666666667
2035 324,51 -6,8
2036 324,43 -8,03333333333333
2037 324,34 -3,71666666666667
2038 324,26 -2,59999999999999
2039 324,18 -3,3
2040 324,09 -4,31666666666668
2041 324,01 -4,75
2042 323,92 -0,883333333333326
2043 323,84 -3,83333333333333
2044 323,76 -5,41666666666667
2045 323,67 -2,68333333333332
2046 323,59 -4,55
2047 323,5 -5,03333333333333
2048 323,42 -4,45
2049 323,34 -3,75
2050 323,25 -5,41666666666667
2051 323,17 -8,78333333333333
2052 323,08 -5,2
2053 323 -3,11666666666667
2054 322,92 -3,88333333333333
2055 322,83 -7,73333333333333
2056 322,75 -6,21666666666667
2057 322,66 -6,58333333333333
2058 322,58 0,683333333333323
2059 322,5 -1,86666666666667
2060 322,41 -4,71666666666667
2061 322,33 -6,09999999999999
2062 322,24 -9,31666666666668
2063 322,16 -0,816666666666677
2064 322,08 -2,8
2065 321,99 -5,81666666666668
2066 321,91 -9,66666666666667
2067 321,82 -1,43333333333332
2068 321,74 -4,93333333333332
2069 321,66 -1,2
2070 321,57 -6,83333333333333
2071 321,49 -6,76666666666667
2072 321,4 -4,21666666666667
2073 321,32 -2,48333333333335
2074 321,24 -8,78333333333333
2075 321,15 -6,81666666666668
2076 321,07 -7,05
2077 320,98 -7,88333333333333
2078 320,9 -6,71666666666667
2079 320,82 -6,84999999999999
2080 320,73 -3,5
2081 320,65 -1,65000000000001
2082 320,56 -8,3
2083 320,48 -4,61666666666667
2084 320,4 -2,43333333333332
2085 320,31 -2,2
2086 320,23 -8,61666666666667
2087 320,14 -8,63333333333334
2088 320,06 -1,13333333333333
2089 319,98 -6,78333333333333
2090 319,89 -8,23333333333333
2091 319,81 -4,81666666666668
2092 319,72 -8,08333333333333
2093 319,64 -4,18333333333332
2094 319,56 -3,61666666666667
2095 319,47 -4,01666666666667
2096 319,39 -8,63333333333333
2097 319,3 -3,5
2098 319,22 -7,56666666666668
2099 319,14 -4,63333333333333
2100 319,05 -7,51666666666667
2101 318,97 -6,2
2102 318,88 -3,21666666666667
2103 318,8 -7,86666666666667
2104 318,72 -6,58333333333333
2105 318,63 -2,3
2106 318,55 -3,69999999999999
2107 318,46 -4,18333333333332
2108 318,38 -4,34999999999999
2109 318,3 -5,83333333333333
2110 318,21 -6,63333333333333
2111 318,13 -4,13333333333333
2112 318,04 -5,08333333333333
2113 317,96 -4,48333333333333
2114 317,88 -3,98333333333333
2115 317,79 -4,88333333333333
2116 317,71 -8,61666666666667
2117 317,62 -4,18333333333332
2118 317,54 -6,01666666666667
2119 317,46 -5,95
2120 317,37 -5,68333333333332
2121 317,29 -6,80000000000001
2122 317,2 -6,59999999999999
2123 317,12 -4,05
2124 317,04 -8,98333333333333
2125 316,95 -3,65000000000001
2126 316,87 -3,83333333333333
2127 316,78 -2,13333333333333
2128 316,7 -2,23333333333333
2129 316,62 -2,8
2130 316,53 -7
2131 316,45 -1,40000000000001
2132 316,36 0,883333333333326
2133 316,28 15,2833333333333
2134 316,2 97,9
2135 316,11 221,116666666667
2136 316,03 140,866666666667
2137 315,94 65,1666666666667
2138 315,86 36,6
2139 315,78 28,0666666666667
2140 315,69 30,35
2141 315,61 35,9833333333333
2142 315,52 25,9833333333333
2143 315,44 25,6333333333333
2144 315,36 26,6166666666667
2145 315,27 21,7166666666667
2146 315,19 14,05
2147 315,1 15,45
2148 315,02 10,0333333333333
2149 314,94 12,05
2150 314,85 7,38333333333333
2151 314,77 5,18333333333332
2152 314,68 6,09999999999999
2153 314,6 4,34999999999999
2154 314,52 2,63333333333333
2155 314,43 1,45
2156 314,35 1,81666666666668
2157 314,26 -0,216666666666669
2158 314,18 0,599999999999994
2159 314,1 0,216666666666669
2160 314,01 -1,13333333333333
2161 313,93 15,7666666666667
2162 313,84 39,0333333333333
2163 313,76 49,0333333333333
2164 313,68 32,0333333333333
2165 313,59 10,2166666666667
2166 313,51 7,06666666666668
2167 313,42 12,1333333333333
2168 313,34 10,6833333333333
2169 313,26 12,6333333333333
2170 313,17 11,1166666666666
2171 313,09 12,5333333333333
2172 313 11,3333333333333
2173 312,92 5,63333333333333
2174 312,84 5,25
2175 312,75 0,816666666666677
2176 312,67 2,43333333333334
2177 312,58 1
2178 312,5 3,23333333333333
2179 312,42 0,133333333333354
2180 312,33 2,26666666666667
2181 312,25 0,516666666666666
2182 312,16 0,233333333333334
2183 312,08 -0,333333333333329
2184 312 9,83333333333334
2185 311,91 7,2
2186 311,83 9,01666666666667
2187 311,74 5,59999999999999
2188 311,66 2,31666666666666
2189 311,58 4,28333333333333
2190 311,49 3,36666666666667
2191 311,41 2,81666666666668
2192 311,32 -1,13333333333333
2193 311,24 0,5
2194 311,16 2,36666666666667
2195 311,07 3,06666666666668
2196 310,99 -1,25
2197 310,9 2,71666666666667
2198 310,82 0,966666666666669
2199 310,74 1,75
2200 310,65 0,766666666666666
2201 310,57 5,68333333333332
2202 310,48 7,73333333333333
2203 310,4 -0,349999999999994
2204 310,32 1,53333333333333
2205 310,23 1,13333333333333
2206 310,15 4,88333333333333
2207 310,06 -0,799999999999997
2208 309,98 2,58333333333333
2209 309,9 8,31666666666666
2210 309,81 1,90000000000001
2211 309,73 3,58333333333333
2212 309,64 -2,2
2213 309,56 6,09999999999999
2214 309,48 4,43333333333332
2215 309,39 12,0666666666667
2216 309,31 14,1833333333333
2217 309,22 11,0166666666667
2218 309,14 2,06666666666668
2219 309,06 -2,75
2220 308,97 0,883333333333326
2221 308,89 0,650000000000006
2222 308,8 2,34999999999999
2223 308,72 -0,566666666666677
2224 308,64 1,75
2225 308,55 2,96666666666667
2226 308,47 0,566666666666677
2227 308,38 2,53333333333333
2228 308,3 0,0999999999999943
2229 308,22 -0,25
2230 308,13 -1,03333333333333
2231 308,05 -1,2
2232 307,96 -4,09999999999999
2233 307,88 0,333333333333329
2234 307,8 -5,36666666666667
2235 307,71 -6,73333333333333
2236 307,63 -4,73333333333333
2237 307,54 -0,75
2238 307,46 -0,25
2239 307,38 -1,23333333333333
2240 307,29 -2,48333333333333
2241 307,21 0,816666666666677
2242 307,12 -2,21666666666667
2243 307,04 0,450000000000003
2244 306,96 1,34999999999999
2245 306,87 -5,65000000000001
2246 306,79 -1,31666666666668
2247 306,7 -2,75
2248 306,62 -0,416666666666671
2249 306,54 -7,53333333333333
2250 306,45 -0,950000000000003
2251 306,37 -7,93333333333332
2252 306,28 -4,7
2253 306,2 -5,65000000000001
2254 306,12 -9
2255 306,03 -5,33333333333334
2256 305,95 -2,61666666666667
2257 305,86 -6,03333333333333
2258 305,78 -7,71666666666667
2259 305,7 -1
2260 305,61 -4,63333333333333
2261 305,53 -7,58333333333333
2262 305,44 -5,25
2263 305,36 -6,25
2264 305,28 -9,58333333333333
2265 305,19 -6,41666666666667
2266 305,11 -6,81666666666668
2267 305,02 -5,43333333333332
2268 304,94 -3,2
2269 304,86 -6,09999999999999
2270 304,77 -3,75
2271 304,69 -5,28333333333333
2272 304,6 -5,51666666666667
2273 304,52 -5,66666666666667
2274 304,44 -5,21666666666667
2275 304,35 -9,86666666666667
2276 304,27 -8,76666666666667
2277 304,18 -2,38333333333333
2278 304,1 -6,38333333333333
2279 304,02 -7,41666666666667
2280 303,93 -1,83333333333333
2281 303,85 -4,09999999999999
2282 303,76 -5,96666666666667
2283 303,68 -4,3
2284 303,6 -5,63333333333333
2285 303,51 -7,96666666666667
2286 303,43 -8,25
2287 303,34 -8,26666666666667
2288 303,26 -5,03333333333333
2289 303,18 -5,09999999999999
2290 303,09 -7,68333333333332
2291 303,01 -5,48333333333333
2292 302,92 -0,516666666666666
2293 302,84 -5,15000000000001
2294 302,76 -7,84999999999999
2295 302,67 -8,3
2296 302,59 -11,3833333333333
2297 302,5 -2,51666666666667
2298 302,42 -8,3
2299 302,34 -5,81666666666668
2300 302,25 -8,86666666666667
2301 302,17 -4,71666666666668
2302 302,08 -4,3
2303 302 -5,08333333333333
2304 301,92 -6,83333333333333
2305 301,83 -3,56666666666668
2306 301,75 -6,33333333333333
2307 301,66 -5,13333333333333
2308 301,58 -3,98333333333333
2309 301,5 -8
2310 301,41 -6,84999999999999
2311 301,33 -6,98333333333333
2312 301,24 -2,84999999999999
2313 301,16 -5,08333333333333
2314 301,08 -9,18333333333332
2315 300,99 -5,73333333333333
2316 300,91 -1,2
2317 300,82 -1,93333333333332
2318 300,74 -11,2833333333333
2319 300,66 -8,26666666666667
2320 300,57 -5,03333333333333
2321 300,49 -3,51666666666667
2322 300,4 -5,33333333333333
2323 300,32 -6,58333333333333
2324 300,24 -5,2
2325 300,15 -7,33333333333333
2326 300,07 -7,65000000000001
2327 299,98 -5,61666666666667
2328 299,9 -5,75
2329 299,82 -5,71666666666667
2330 299,73 -8,13333333333333
2331 299,65 -2,28333333333333
2332 299,56 -4,76666666666667
2333 299,48 -4,68333333333332
2334 299,4 -7,05
2335 299,31 -6,33333333333333
2336 299,23 -7,84999999999999
2337 299,14 -8,59999999999999
2338 299,06 -4,55
2339 298,98 -6,51666666666667
2340 298,89 -1,13333333333333
2341 298,81 -5,78333333333333
2342 298,72 -5,38333333333334
2343 298,64 -1,78333333333333
2344 298,56 -3,71666666666667
2345 298,47 -7,3
2346 298,39 -5,68333333333332
2347 298,3 -6,15000000000001
2348 298,22 -4,83333333333333
2349 298,14 -5,16666666666667
2350 298,05 -2,34999999999999
2351 297,97 0,75
2352 297,88 6,33333333333333
2353 297,8 3,68333333333332
2354 297,72 -1,25
2355 297,63 -2,51666666666667
2356 297,55 1,18333333333332
2357 297,46 1,65000000000001
2358 297,38 -1,96666666666667
2359 297,3 -2,41666666666667
2360 297,21 -1,13333333333333
2361 297,13 1,56666666666668
2362 297,04 -5,90000000000001
2363 296,96 -4,40000000000001
2364 296,88 -4,61666666666667
2365 296,79 -6,75
2366 296,71 2,2
2367 296,62 -1,11666666666667
2368 296,54 -0,75
2369 296,46 5,96666666666667
2370 296,37 5,31666666666668
2371 296,29 1
2372 296,2 -4,51666666666667
2373 296,12 1,93333333333332
2374 296,04 -0,533333333333331
2375 295,95 -3,48333333333333
2376 295,87 -2,53333333333333
2377 295,78 -2,76666666666667
2378 295,7 -2,84999999999999
2379 295,62 -0,0999999999999943
2380 295,53 2,98333333333333
2381 295,45 -0,566666666666663
2382 295,36 -2,25
2383 295,28 -1,33333333333333
2384 295,2 -3,68333333333332
2385 295,11 -2,78333333333333
2386 295,03 0,716666666666669
2387 294,94 -3,43333333333332
2388 294,86 -4,36666666666667
2389 294,78 -5,01666666666667
2390 294,69 -4,31666666666666
2391 294,61 -1,09999999999999
2392 294,52 -6,51666666666667
2393 294,44 -6,06666666666668
2394 294,36 -0,950000000000003
2395 294,27 -3,26666666666667
2396 294,19 -1,88333333333333
2397 294,1 -8,83333333333333
2398 294,02 -8,11666666666667
2399 293,94 -5,43333333333332
2400 293,85 -8,65000000000001
2401 293,77 -7,09999999999999
2402 293,68 -0,816666666666677
2403 293,6 -8,38333333333333
2404 293,52 -9,71666666666667
2405 293,43 -8,23333333333333
2406 293,35 -7,40000000000001
2407 293,26 -2,76666666666667
2408 293,18 -8,96666666666667
2409 293,1 -7,05
2410 293,01 -8,88333333333333
2411 292,93 -3,86666666666667
2412 292,84 -3,05
2413 292,76 -6,41666666666666
2414 292,68 -5,06666666666668
2415 292,59 -9,28333333333333
2416 292,51 -11,7333333333333
2417 292,42 -1,55
2418 292,34 -7,45
2419 292,26 -7,43333333333332
2420 292,17 -4,8
2421 292,09 -2,09999999999999
2422 292 -3,45
2423 291,92 -8,98333333333333
2424 291,84 -6,38333333333333
2425 291,75 -5,36666666666667
2426 291,67 -5,05
2427 291,58 -7,05
2428 291,5 -4,84999999999999
2429 291,42 -7,03333333333333
2430 291,33 -6,43333333333332
2431 291,25 -3,11666666666667
2432 291,16 -5,15000000000001
2433 291,08 -5,81666666666668
2434 291 -7,05
2435 290,91 -7,68333333333332
2436 290,83 -7,46666666666667
2437 290,74 -5,21666666666667
2438 290,66 -3,65000000000001
2439 290,58 -7,34999999999999
2440 290,49 -3,06666666666668
2441 290,41 -6,05
2442 290,32 -5,96666666666667
2443 290,24 -9,06666666666668
2444 290,16 -3,48333333333333
2445 290,07 -7,84999999999999
2446 289,99 -5,01666666666667
2447 289,9 -6,13333333333333
2448 289,82 -6,3
2449 289,74 -4,56666666666668
2450 289,65 -9,31666666666668
2451 289,57 -9,58333333333333
2452 289,48 -4,13333333333333
2453 289,4 -4,41666666666667
2454 289,32 -4,30000000000001
2455 289,23 -6,96666666666667
2456 289,15 -3,03333333333333
2457 289,06 -5,15000000000001
2458 288,98 -2,28333333333333
2459 288,9 -9,2
2460 288,81 -6,38333333333335
2461 288,73 -4,84999999999999
2462 288,64 -0,0999999999999943
2463 288,56 -5,11666666666667
2464 288,48 -1,59999999999999
2465 288,39 -7,31666666666668
2466 288,31 -5,15000000000001
2467 288,22 -6,63333333333333
2468 288,14 -5,33333333333333
2469 288,06 -6,46666666666667
2470 287,97 -3,38333333333333
2471 287,89 -6,59999999999999
2472 287,8 -8,06666666666668
2473 287,72 -4,16666666666667
2474 287,64 -6,40000000000001
2475 287,55 -6,16666666666667
2476 287,47 -2,95
2477 287,38 -5,06666666666668
2478 287,3 -3,78333333333333
2479 287,22 -8,08333333333333
2480 287,13 -7,48333333333333
2481 287,05 -5,73333333333333
2482 286,96 -5,5
2483 286,88 -6,84999999999999
2484 286,8 -2,2
2485 286,71 -4,5
2486 286,63 -6,7
2487 286,54 -4,26666666666667
2488 286,46 -5,93333333333332
2489 286,38 -1,51666666666665
2490 286,29 -6,55
2491 286,21 -4,65000000000001
2492 286,12 -3,59999999999999
2493 286,04 -8,09999999999999
2494 285,96 -8,06666666666668
2495 285,87 -8,34999999999999
2496 285,79 -5,8
2497 285,7 -3,56666666666668
2498 285,62 -7,5
2499 285,54 -1,73333333333333
2500 285,45 -4,45
2501 285,37 -4,59999999999999
2502 285,28 -7,03333333333333
2503 285,2 -0,983333333333334
2504 285,12 -5,43333333333332
2505 285,03 -7,18333333333332
2506 284,95 -3,86666666666667
2507 284,86 -4,13333333333333
2508 284,78 -4,76666666666667
2509 284,7 -3,46666666666667
2510 284,61 -2,98333333333333
2511 284,53 -7,40000000000001
2512 284,44 -7,48333333333333
2513 284,36 -6,65000000000001
2514 284,28 -3,53333333333332
2515 284,19 -7,18333333333332
2516 284,11 -7,16666666666667
2517 284,02 -0,466666666666669
2518 283,94 -5,75
2519 283,86 -7,18333333333332
2520 283,77 -4,38333333333333
2521 283,69 -7,91666666666667
2522 283,6 -6,66666666666667
2523 283,52 -10,35
2524 283,44 -10,5333333333333
2525 283,35 -8,56666666666668
2526 283,27 -5,55000000000001
2527 283,18 -7,93333333333332
2528 283,1 -6,78333333333333
2529 283,02 -2,38333333333333
2530 282,93 -4,46666666666667
2531 282,85 -6,59999999999999
2532 282,76 -2,5
2533 282,68 -3,71666666666667
2534 282,6 -5,84999999999999
2535 282,51 -5,83333333333333
2536 282,43 -5,3
2537 282,34 -4
2538 282,26 -7,91666666666667
2539 282,18 -3,84999999999999
2540 282,09 -5,95
2541 282,01 -4,84999999999999
2542 281,92 -7,55
2543 281,84 -7,66666666666667
2544 281,76 -3,21666666666667
2545 281,67 -5,53333333333332
2546 281,59 -4,05
2547 281,5 -6,45
2548 281,42 -4,45
2549 281,34 -3,91666666666667
2550 281,25 -7,88333333333333
2551 281,17 -6,43333333333332
2552 281,08 -9,63333333333333
2553 281 -5
2554 280,92 -10,4666666666667
2555 280,83 -6,38333333333333
2556 280,75 -3,2
2557 280,66 -2,36666666666667
2558 280,58 -4,03333333333333
2559 280,5 -12,5833333333333
2560 280,41 -1,95
2561 280,33 -4,11666666666667
2562 280,24 -7,40000000000001
2563 280,16 -6,01666666666667
2564 280,08 -2,53333333333333
2565 279,99 -1,51666666666667
2566 279,91 -4,68333333333332
2567 279,82 -5,90000000000001
2568 279,74 -7,16666666666667
2569 279,66 -6,05
2570 279,57 -6,18333333333332
2571 279,49 -4,71666666666667
2572 279,4 -3,90000000000001
2573 279,32 -7,41666666666667
2574 279,24 -8,21666666666667
2575 279,15 -6,11666666666667
2576 279,07 -1,90000000000001
2577 278,98 -8,7
2578 278,9 -5,56666666666668
2579 278,82 -7,40000000000001
2580 278,73 -0,483333333333334
2581 278,65 -3,84999999999999
2582 278,56 -4,78333333333333
2583 278,48 -8,48333333333333
2584 278,4 -2,58333333333333
2585 278,31 -5,25
2586 278,23 -5,91666666666667
2587 278,14 -5,2
2588 278,06 -6,38333333333333
2589 277,98 -7,98333333333333
2590 277,89 -5,09999999999999
2591 277,81 -3,13333333333333
2592 277,72 -6,18333333333332
2593 277,64 -12,0333333333333
2594 277,56 -5,5
2595 277,47 -11,1
2596 277,39 -6,18333333333332
2597 277,3 -11,1166666666666
2598 277,22 -10,5833333333333
2599 277,14 -7,18333333333332
2600 277,05 -2,91666666666667
2601 276,97 -7,98333333333333
2602 276,88 -3,84999999999999
2603 276,8 -5,91666666666667
2604 276,72 -6
2605 276,63 -4,96666666666668
2606 276,55 -12,3833333333333
2607 276,46 -7,2
2608 276,38 -7,7
2609 276,3 -8,40000000000001
2610 276,21 -5,80000000000001
2611 276,13 -7,61666666666667
2612 276,04 -7,40000000000001
2613 275,96 -6,08333333333333
2614 275,88 -2,08333333333333
2615 275,79 -7,15000000000001
2616 275,71 -3,78333333333333
2617 275,62 -4,53333333333333
2618 275,54 -3,66666666666666
2619 275,46 -2,98333333333333
2620 275,37 -4,48333333333333
2621 275,29 -8,25
2622 275,2 -11,3166666666667
2623 275,12 -2,76666666666667
2624 275,04 -3,78333333333333
2625 274,95 -3,01666666666667
2626 274,87 -7,25
2627 274,78 -4,90000000000001
2628 274,7 -4,93333333333332
2629 274,62 -4,76666666666665
2630 274,53 -5,91666666666667
2631 274,45 -4,11666666666667
2632 274,36 -7,65000000000001
2633 274,28 -3,8
2634 274,2 -2
2635 274,11 -4,98333333333333
2636 274,03 -7,95
2637 273,94 -3,31666666666666
2638 273,86 -10,4333333333333
2639 273,78 -7,91666666666667
2640 273,69 -3,23333333333333
2641 273,61 -3,55
2642 273,52 -5,78333333333333
2643 273,44 -7,7
2644 273,36 -4,93333333333332
2645 273,27 -5,75
2646 273,19 -9,05
2647 273,1 -3,61666666666667
2648 273,02 -8,48333333333333
2649 272,94 -7,88333333333333
2650 272,85 -4,11666666666667
2651 272,77 -3,33333333333333
2652 272,68 -4,78333333333333
2653 272,6 -7,15000000000001
2654 272,52 -0,683333333333323
2655 272,43 -4,76666666666667
2656 272,35 -3,01666666666667
2657 272,26 -2,16666666666667
2658 272,18 -8,43333333333334
2659 272,1 -5,66666666666667
2660 272,01 -6,36666666666667
2661 271,93 -9,98333333333333
2662 271,84 -8,38333333333333
2663 271,76 -8,43333333333332
2664 271,68 -4,33333333333333
2665 271,59 -5,66666666666667
2666 271,51 -6,7
2667 271,42 -3,7
2668 271,34 -4,25
2669 271,26 -7,53333333333333
2670 271,17 -7,03333333333333
2671 271,09 -5,65000000000001
2672 271 -6,08333333333333
2673 270,92 -6,43333333333332
2674 270,84 -3,51666666666667
2675 270,75 -6,65000000000001
2676 270,67 -5,13333333333333
2677 270,58 -5,91666666666667
2678 270,5 -5,8
2679 270,42 -5,53333333333333
2680 270,33 -5,71666666666667
2681 270,25 -6,45
2682 270,16 -3,7
2683 270,08 -6,36666666666667
2684 270 -5,40000000000001
2685 269,91 -0,650000000000006
2686 269,83 -6,63333333333333
2687 269,74 -6,03333333333333
2688 269,66 -8,18333333333332
2689 269,58 -4,55
2690 269,49 -5,36666666666667
2691 269,41 -1,96666666666667
2692 269,32 -9,2
2693 269,24 -8,21666666666668
2694 269,16 -5,75
2695 269,07 -6,7
2696 268,99 -3,7
2697 268,9 -8,40000000000001
2698 268,82 -14
2699 268,74 -8,15000000000001
2700 268,65 -3,5
2701 268,57 -7,2
2702 268,48 -3,73333333333333
2703 268,4 -5,7
2704 268,32 -1,83333333333333
2705 268,23 -4,59999999999999
2706 268,15 -3,40000000000001
2707 268,06 -4,8
2708 267,98 -3,90000000000001
2709 267,9 -3,26666666666667
2710 267,81 -5,06666666666666
2711 267,73 -4,75
2712 267,64 -7,55
2713 267,56 -5,84999999999999
2714 267,48 -9,15000000000001
2715 267,39 -4,43333333333332
2716 267,31 -5,65000000000001
2717 267,22 -3,68333333333332
2718 267,14 -4
2719 267,06 -5,33333333333333
2720 266,97 -13,9333333333333
2721 266,89 -3,61666666666667
2722 266,8 -7,96666666666667
2723 266,72 -4,16666666666667
2724 266,64 -8,18333333333332
2725 266,55 -5,63333333333333
2726 266,47 -7,16666666666667
2727 266,38 -8,16666666666667
2728 266,3 -10,2333333333333
2729 266,22 -8,11666666666667
2730 266,13 -8,46666666666668
2731 266,05 -6,45
2732 265,96 -14,3666666666667
2733 265,88 -6,15000000000001
2734 265,8 -6,06666666666668
2735 265,71 -6,51666666666667
2736 265,63 -10,5166666666667
2737 265,54 -6,18333333333332
2738 265,46 -7,43333333333334
2739 265,38 -8,26666666666667
2740 265,29 -7,18333333333332
2741 265,21 -5,90000000000001
2742 265,12 -7,41666666666667
2743 265,04 -4,66666666666667
2744 264,96 -3,7
2745 264,87 -6,31666666666668
2746 264,79 -4,59999999999999
2747 264,7 -4,71666666666667
2748 264,62 -5,16666666666667
2749 264,54 -6,73333333333333
2750 264,45 -6,15000000000001
2751 264,37 -5,01666666666667
2752 264,28 -4,28333333333333
2753 264,2 -4,76666666666667
2754 264,12 -5,96666666666667
2755 264,03 -3,06666666666668
2756 263,95 -5,98333333333333
2757 263,86 -3,36666666666667
2758 263,78 -7,95
2759 263,7 -4,76666666666667
